Label,QualifiedApiName
AC Launchable?,AC_Launchable__c
Total Launchable AC Properties,Count_of_AC_Launchable_Facilities__c
# of New or Cross-sell Oppty,of_New_or_Cross_sell_Oppty__c
# of New or Cross-sell Oppty to Parent,of_New_or_Cross_sell_Oppty_to_Parent__c
# of New or Cross-sell Oppty in Hierarch,of_New_or_Cross_sell_Oppty_in_Hierarch__c
SE Facility UUID,SE_Facility_UUID__c
Cancelled AC Assets,Cancelled_AC_Assets__c
Cancelled AC Properties,Cancelled_AC_Facilities__c
Cancelled ESS CA Assets,Cancelled_ESS_CA_Assets__c
Cancelled ESS CA Properties,Cancelled_ESS_CA_Facilities__c
Cancelled ESS FMS Assets,Cancelled_ESS_FMS_Assets__c
Cancelled ESS FMS Properties,Cancelled_ESS_FMS_Facilities__c
Cancelled ESS SEO Assets,Cancelled_ESS_SEO_Assets__c
Cancelled ESS SEO Properties,Cancelled_ESS_SEO_Facilities__c
Cancelled PMS Properties,Cancelled_PMS_Facilities__c
Cancelled SBOA Assets,Cancelled_SBOA_Assets__c
Cancelled SBOA Properties,Cancelled_SBOA_Facilities__c
Cancelled SE FMS Assets,Cancelled_SE_FMS_Assets__c
Cancelled SE FMS Properties,Cancelled_SE_FMS_Facilities__c
Cancelled SE Web Properties,Cancelled_SE_Web_Facilities__c
Lead Source,LeadSource__c
Special Contract,Special_Contract__c
Inferred Contract?,Inferred_Contract__c
Managed Account?,Managed_Account__c
Currency Test,rh2__testCurrency__c
White Glove : WebWorks,White_Glove__c
Live AC Assets,Live_AC_Assets__c
Live AC Properties,Live_AC_Facilities__c
# of In Progress SE FMS Assets,of_In_Progress_SE_FMS_Assets__c
ESS Pendo Record,ESS_Pendo_Record__c
SE Pendo Record,SE_Pendo_Record__c
SF Pendo Record,SF_Pendo_Record__c
dL Access Avg Rev Per Month,dL_Access_Avg_Rev_Per_Month__c
# Side-to-Dockage (per foot),Num_Side_to_Dockage__c
# Slips : Rental,Num_Slips_Rental__c
# PWC / Jet Ski : Club,PWC_Jet_Ski_Club__c
# RV Sites : Club,RV_Sites_Club__c
# Recreational Vehicles : Club,Recreational_Vehicles_Club__c
SMS Locations,SMS_Locations__c
# Slips : Club,Slips_Club__c
# Snowmobiles : Club,Snowmobiles_Club__c
Fuel,Fuel__c
dL Count of Live ESS FMS SFDC Assets,dL_Count_of_Live_ESS_FMS_SFDC_Assets__c
New Boats,Sells_New_Boats__c
dL Count of Live FMS SFDC Assets,dL_Count_of_Live_FMS_SFDC_Assets__c
Used Boats,Sells_Used_Boats__c
Top 24 Parent,Top_24_Parent__c
Top 24 Member,Top_24_Member__c
dL Count of Live SE FMS SFDC Assets,dL_Count_of_Live_SE_FMS_SFDC_Assets__c
dL Count of Live SFDC Assets,dL_Count_of_Live_SFDC_Assets__c
dL Count of Live SL AC SFDC Assets,dL_Count_of_Live_SL_AC_SFDC_Assets__c
dL Count of Live SL FMS SFDC Assets,dL_Count_of_Live_SL_FMS_SFDC_Assets__c
dL Count of SFDC Children,dL_Count_of_SFDC_Children__c
dL Count of Units,dL_Count_of_Units__c
dL Insurance Avg Rev Per Month,dL_Insurance_Avg_Rev_Per_Month__c
dL Marketplace Avg Rev Per Month,dL_Marketplace_Avg_Rev_Per_Month__c
dL Payments Avg Rev Per Month,dL_Payments_Avg_Rev_Per_Month__c
dL Software Avg Rev Per Month,dL_Software_Avg_Rev_Per_Month__c
dL Websites Avg Rev Per Month,dL_Websites_Avg_Rev_Per_Month__c
NetSuite Billing Address Update,NetSuite_Billing_Address_Update__c
NetSuite Non-Address Update,NetSuite_Non_Address_Update__c
NetSuite Shipping Address Update,NetSuite_Shipping_Address_Update__c
IsCreatedFromDialpad,Dialpad__IsCreatedFromDialpad__c
Powerdialer Assigned List,Dialpad__Powerdialer_Assigned_List__c
Powerdialer Dialed List,Dialpad__Powerdialer_Dialed_List__c
Powerdialer Last Dialed via,Dialpad__Powerdialer_Last_Dialed_via__c
Account Timezone,Dialpad__Timezone__c
Total Number Of Times Dialed,Dialpad__TotalNumberOfTimesDialed__c
Dual Tokenization Merchant ID,Dual_Tokenization_Merchant_ID__c
FormFill,FormFill__c
# of New Assets,of_New_Assets__c
